model,tuning,scoring,rank,count
KNC,model,AUC,12.0,43
KNC,model,AUC,13.0,43
KNC,model,AUC,2.0,43
KNC,model,AUC,3.0,41
KNC,model,AUC,11.0,39
KNC,model,AUC,15.0,38
KNC,model,AUC,19.0,38
KNC,model,AUC,4.0,37
KNC,model,AUC,7.0,37
KNC,model,AUC,10.0,36
KNC,model,AUC,8.0,36
KNC,model,AUC,14.0,35
KNC,model,AUC,20.0,35
KNC,model,AUC,9.0,35
KNC,model,AUC,16.0,34
KNC,model,AUC,18.0,34
KNC,model,AUC,22.0,33
KNC,model,AUC,23.0,33
KNC,model,AUC,21.0,31
KNC,model,AUC,24.0,30
KNC,model,AUC,25.0,25
KNC,model,AUC,26.0,22
KNC,model,AUC,27.0,21
KNC,model,AUC,28.0,18
KNC,model,AUC,29.0,12
KNC,model,AUC,30.0,7
KNC,model,AUC,31.0,2
KNC,model,F1,0.0,92
KNC,model,F1,1.0,81
KNC,model,F1,7.0,62
KNC,model,F1,5.0,62
KNC,model,F1,13.0,61
KNC,model,F1,2.0,56
KNC,model,F1,3.0,52
KNC,model,F1,14.0,51
KNC,model,F1,4.0,45
KNC,model,F1,6.0,45
KNC,model,F1,17.0,43
KNC,model,F1,11.0,42
KNC,model,F1,10.0,42
KNC,model,F1,16.0,40
KNC,model,F1,9.0,39
KNC,model,F1,8.0,39
KNC,model,F1,12.0,37
KNC,model,F1,18.0,37
KNC,model,F1,15.0,37
KNC,model,F1,19.0,32
KNC,model,F1,23.0,30
KNC,model,F1,21.0,30
KNC,model,F1,22.0,29
KNC,model,F1,20.0,29
KNC,model,F1,24.0,28
KNC,model,F1,25.0,26
KNC,model,F1,26.0,25
KNC,model,F1,27.0,21
KNC,model,F1,28.0,19
KNC,model,F1,29.0,13
KNC,model,F1,30.0,7
KNC,model,F1,31.0,5
KNC,no,ACC,1.0,99
KNC,no,ACC,0.0,69
KNC,no,ACC,3.0,65
KNC,no,ACC,14.0,62
KNC,no,ACC,15.0,61
KNC,no,ACC,2.0,60
KNC,no,ACC,4.0,59
KNC,no,ACC,6.0,56
KNC,no,ACC,5.0,54
KNC,no,ACC,11.0,53
KNC,no,ACC,10.0,51
KNC,no,ACC,12.0,49
KNC,no,ACC,8.0,45
KNC,no,ACC,13.0,44
KNC,no,ACC,7.0,44
KNC,no,ACC,9.0,42
KNC,no,ACC,17.0,42
KNC,no,ACC,16.0,41
KNC,no,ACC,20.0,35
KNC,no,ACC,19.0,33
KNC,no,ACC,18.0,32
KNC,no,ACC,21.0,30
KNC,no,ACC,22.0,24
KNC,no,ACC,23.0,23
KNC,no,ACC,25.0,22
KNC,no,ACC,24.0,22
KNC,no,ACC,26.0,18
KNC,no,ACC,27.0,14
KNC,no,ACC,28.0,11
KNC,no,ACC,29.0,9
KNC,no,ACC,30.0,8
KNC,no,ACC,31.0,4
KNC,no,AUC,0.0,79
KNC,no,AUC,4.0,72
KNC,no,AUC,5.0,59
KNC,no,AUC,1.0,52
KNC,no,AUC,3.0,48
KNC,no,AUC,16.0,43
KNC,no,AUC,14.0,42
KNC,no,AUC,9.0,42
KNC,no,AUC,2.0,41
KNC,no,AUC,7.0,41
KNC,no,AUC,17.0,40
